N,P,K,SoilType,Season,PreviousCrop,Crop,RequiredNutrient
40,68,36,Clay,Summer,Maize,Maize,Potassium
36,80,42,Black,Rabi,Sugarcane,Sugarcane,Nitrogen
55,54,29,Clay,Kharif,Pulses,Pulses,Potassium
31,76,33,Red,Kharif,Maize,Maize,Nitrogen
46,50,47,Sandy,Kharif,Millet,Millet,Nitrogen
48,49,17,Black,Summer,Soybean,Soybean,Potassium
24,80,46,Red,Kharif,Maize,Maize,Nitrogen
39,21,16,Sandy,Summer,Groundnut,Groundnut,Potassium
64,61,33,Sandy,Rabi,Chickpea,Chickpea,Potassium
59,66,39,Red,Summer,Wheat,Wheat,Potassium
78,67,20,Clay,Summer,Chickpea,Chickpea,Potassium
60,72,33,Black,Rabi,Barley,Barley,Potassium
58,40,14,Sandy,Rabi,Groundnut,Groundnut,Potassium
64,75,29,Black,Kharif,Pulses,Pulses,Potassium
54,74,39,Clay,Kharif,Onion,Onion,Potassium
79,20,55,Sandy,Summer,Sunflower,Sunflower,Phosphorus
50,28,48,Red,Rabi,Sugarcane,Sugarcane,Phosphorus
65,44,27,Sandy,Kharif,Onion,Onion,Potassium
76,42,34,Clay,Summer,Cotton,Cotton,Potassium
32,13,6,Clay,Kharif,Sorghum,Sorghum,Potassium
42,24,43,Red,Summer,Potato,Potato,Phosphorus
12,13,12,Red,Summer,Sunflower,Sunflower,Nitrogen
37,61,50,Red,Kharif,Chickpea,Chickpea,Nitrogen
44,25,32,Black,Kharif,Millet,Millet,Phosphorus
79,78,12,Black,Kharif,Pulses,Pulses,Potassium
43,51,59,Red,Rabi,Barley,Barley,Nitrogen
26,65,48,Black,Summer,Groundnut,Groundnut,Nitrogen
30,21,55,Black,Kharif,Sugarcane,Sugarcane,Phosphorus
79,40,16,Sandy,Rabi,Barley,Barley,Potassium
12,61,21,Black,Rabi,Pulses,Pulses,Nitrogen
62,72,40,Red,Kharif,Pulses,Pulses,Potassium
65,11,27,Sandy,Rabi,Maize,Maize,Phosphorus
76,54,54,Black,Rabi,Sunflower,Sunflower,None
29,49,49,Red,Rabi,Millet,Millet,Nitrogen
66,63,22,Red,Kharif,Groundnut,Groundnut,Potassium
28,58,10,Clay,Rabi,Barley,Barley,Potassium
67,62,40,Black,Kharif,Sorghum,Sorghum,Potassium
23,14,42,Sandy,Kharif,Sugarcane,Sugarcane,Phosphorus
69,74,43,Red,Kharif,Sugarcane,Sugarcane,None
10,59,28,Sandy,Kharif,Barley,Barley,Nitrogen
40,78,25,Black,Summer,Sugarcane,Sugarcane,Potassium
60,80,60,Clay,Kharif,Sugarcane,Sugarcane,None
15,17,14,Clay,Summer,Sugarcane,Sugarcane,Potassium
41,10,24,Red,Kharif,Barley,Barley,Phosphorus
45,77,30,Clay,Summer,Potato,Potato,Potassium
71,24,17,Sandy,Rabi,Chickpea,Chickpea,Potassium
36,79,12,Black,Kharif,Chickpea,Chickpea,Potassium
50,34,22,Black,Summer,Cotton,Cotton,Potassium
49,47,58,Red,Kharif,Rice,Rice,Phosphorus
44,53,14,Red,Summer,Maize,Maize,Potassium
28,37,46,Black,Summer,Groundnut,Groundnut,Nitrogen
18,54,7,Sandy,Summer,Tomato,Tomato,Potassium
43,71,26,Clay,Summer,Tomato,Tomato,Potassium
73,43,56,Black,Summer,Rice,Rice,Phosphorus
20,45,36,Clay,Kharif,Groundnut,Groundnut,Nitrogen
10,67,55,Red,Summer,Sunflower,Sunflower,Nitrogen
27,49,12,Sandy,Kharif,Maize,Maize,Potassium
17,68,18,Clay,Kharif,Sugarcane,Sugarcane,Nitrogen
18,33,9,Black,Rabi,Potato,Potato,Potassium
70,23,54,Sandy,Rabi,Sugarcane,Sugarcane,Phosphorus
77,28,10,Sandy,Summer,Potato,Potato,Potassium
19,50,5,Black,Summer,Wheat,Wheat,Potassium
64,26,25,Red,Rabi,Wheat,Wheat,Potassium
46,23,45,Clay,Rabi,Barley,Barley,Phosphorus
59,61,57,Red,Kharif,Millet,Millet,None
71,12,22,Red,Rabi,Tomato,Tomato,Phosphorus
61,28,7,Red,Summer,Pulses,Pulses,Potassium
48,34,21,Red,Rabi,Cotton,Cotton,Potassium
24,27,48,Black,Rabi,Barley,Barley,Nitrogen
60,59,34,Sandy,Kharif,Millet,Millet,Potassium
58,79,28,Clay,Summer,Pulses,Pulses,Potassium
79,65,25,Sandy,Kharif,Barley,Barley,Potassium
76,77,23,Black,Kharif,Barley,Barley,Potassium
47,10,40,Sandy,Summer,Millet,Millet,Phosphorus
10,47,20,Red,Rabi,Pulses,Pulses,Nitrogen
54,47,41,Black,Rabi,Potato,Potato,Potassium
54,26,54,Black,Kharif,Maize,Maize,Phosphorus
36,24,49,Clay,Summer,Chickpea,Chickpea,Phosphorus
76,58,28,Red,Rabi,Pulses,Pulses,Potassium
32,32,25,Black,Kharif,Sunflower,Sunflower,Potassium
16,62,46,Sandy,Summer,Sugarcane,Sugarcane,Nitrogen
18,15,20,Red,Rabi,Pulses,Pulses,Phosphorus
47,75,33,Red,Summer,Soybean,Soybean,Potassium
34,52,11,Sandy,Kharif,Chickpea,Chickpea,Potassium
43,37,24,Clay,Rabi,Sorghum,Sorghum,Potassium
12,48,60,Black,Rabi,Wheat,Wheat,Nitrogen
24,50,23,Sandy,Kharif,Wheat,Wheat,Potassium
22,36,8,Black,Rabi,Sorghum,Sorghum,Potassium
34,75,36,Red,Rabi,Soybean,Soybean,Nitrogen
12,21,7,Black,Rabi,Onion,Onion,Potassium
53,79,59,Red,Kharif,Groundnut,Groundnut,None
50,52,38,Red,Rabi,Maize,Maize,Potassium
16,12,56,Sandy,Kharif,Rice,Rice,Phosphorus
66,14,5,Red,Kharif,Cotton,Cotton,Potassium
11,14,32,Black,Rabi,Barley,Barley,Nitrogen
33,42,54,Black,Summer,Soybean,Soybean,Nitrogen
39,27,57,Sandy,Summer,Barley,Barley,Phosphorus
50,17,44,Red,Summer,Tomato,Tomato,Phosphorus
73,57,10,Black,Rabi,Sunflower,Sunflower,Potassium
65,61,31,Black,Summer,Cotton,Cotton,Potassium
12,22,39,Red,Kharif,Groundnut,Groundnut,Nitrogen
43,73,57,Black,Summer,Rice,Rice,Nitrogen
73,11,36,Black,Summer,Groundnut,Groundnut,Phosphorus
31,49,7,Sandy,Summer,Sugarcane,Sugarcane,Potassium
46,55,51,Red,Rabi,Maize,Maize,Nitrogen
77,67,32,Red,Summer,Chickpea,Chickpea,Potassium
15,13,42,Red,Summer,Potato,Potato,Phosphorus
59,50,43,Red,Summer,Millet,Millet,Potassium
30,51,48,Red,Kharif,Chickpea,Chickpea,Nitrogen
45,36,18,Clay,Kharif,Millet,Millet,Potassium
38,43,35,Sandy,Rabi,Sorghum,Sorghum,Potassium
52,66,60,Sandy,Rabi,Rice,Rice,None
23,41,45,Black,Kharif,Onion,Onion,Nitrogen
77,51,13,Black,Rabi,Tomato,Tomato,Potassium
42,36,25,Clay,Summer,Rice,Rice,Potassium
37,54,21,Clay,Summer,Wheat,Wheat,Potassium
44,59,12,Sandy,Kharif,Rice,Rice,Potassium
79,32,35,Black,Rabi,Tomato,Tomato,Phosphorus
38,29,48,Sandy,Kharif,Groundnut,Groundnut,Phosphorus
31,25,31,Red,Summer,Barley,Barley,Phosphorus
29,60,45,Red,Rabi,Maize,Maize,Nitrogen
40,74,50,Clay,Kharif,Millet,Millet,Nitrogen
71,19,59,Sandy,Rabi,Wheat,Wheat,Phosphorus
47,26,47,Black,Rabi,Sunflower,Sunflower,Phosphorus
52,47,60,Clay,Kharif,Soybean,Soybean,Phosphorus
32,50,14,Sandy,Rabi,Wheat,Wheat,Potassium
76,56,15,Red,Kharif,Soybean,Soybean,Potassium
49,64,13,Sandy,Kharif,Soybean,Soybean,Potassium
17,32,31,Black,Summer,Sugarcane,Sugarcane,Nitrogen
51,21,11,Black,Summer,Groundnut,Groundnut,Potassium
53,44,50,Sandy,Summer,Sunflower,Sunflower,Phosphorus
26,60,43,Clay,Summer,Soybean,Soybean,Nitrogen
23,68,29,Red,Rabi,Pulses,Pulses,Nitrogen
47,31,43,Black,Summer,Groundnut,Groundnut,Phosphorus
11,69,31,Sandy,Kharif,Sugarcane,Sugarcane,Nitrogen
15,66,56,Black,Summer,Wheat,Wheat,Nitrogen
37,37,26,Black,Summer,Groundnut,Groundnut,Potassium
25,15,22,Sandy,Summer,Millet,Millet,Phosphorus
52,23,28,Clay,Kharif,Barley,Barley,Phosphorus
67,36,7,Clay,Summer,Tomato,Tomato,Potassium
72,18,47,Clay,Summer,Maize,Maize,Phosphorus
32,12,11,Black,Rabi,Onion,Onion,Potassium
54,64,36,Clay,Summer,Cotton,Cotton,Potassium
61,33,33,Black,Summer,Sorghum,Sorghum,Phosphorus
73,21,43,Clay,Rabi,Sunflower,Sunflower,Phosphorus
42,35,43,Black,Rabi,Pulses,Pulses,Phosphorus
30,56,52,Red,Summer,Wheat,Wheat,Nitrogen
37,77,7,Sandy,Summer,Barley,Barley,Potassium
46,37,42,Red,Kharif,Chickpea,Chickpea,Phosphorus
55,65,25,Sandy,Kharif,Groundnut,Groundnut,Potassium
18,42,34,Sandy,Summer,Sorghum,Sorghum,Nitrogen
53,54,40,Black,Rabi,Barley,Barley,Potassium
59,68,30,Red,Kharif,Chickpea,Chickpea,Potassium
42,66,45,Red,Summer,Tomato,Tomato,Nitrogen
34,70,37,Black,Summer,Wheat,Wheat,Nitrogen
61,63,38,Red,Kharif,Rice,Rice,Potassium
60,11,5,Sandy,Rabi,Potato,Potato,Potassium
54,24,37,Sandy,Rabi,Sorghum,Sorghum,Phosphorus
69,51,23,Red,Rabi,Tomato,Tomato,Potassium
37,20,48,Sandy,Kharif,Sorghum,Sorghum,Phosphorus
66,12,37,Red,Kharif,Sunflower,Sunflower,Phosphorus
27,12,8,Black,Rabi,Pulses,Pulses,Potassium
67,35,21,Black,Summer,Potato,Potato,Potassium
17,46,36,Red,Rabi,Chickpea,Chickpea,Nitrogen
25,30,52,Red,Kharif,Sugarcane,Sugarcane,Nitrogen
23,40,34,Clay,Summer,Sugarcane,Sugarcane,Nitrogen
10,75,16,Black,Summer,Millet,Millet,Nitrogen
11,65,7,Red,Kharif,Millet,Millet,Potassium
36,26,56,Black,Summer,Sorghum,Sorghum,Phosphorus
33,15,35,Sandy,Rabi,Millet,Millet,Phosphorus
65,20,23,Red,Kharif,Tomato,Tomato,Phosphorus
55,52,28,Clay,Rabi,Groundnut,Groundnut,Potassium
33,22,56,Red,Kharif,Sorghum,Sorghum,Phosphorus
52,32,60,Clay,Kharif,Groundnut,Groundnut,Phosphorus
14,78,52,Sandy,Kharif,Potato,Potato,Nitrogen
62,53,34,Red,Rabi,Rice,Rice,Potassium
51,79,54,Sandy,Rabi,Sorghum,Sorghum,None
18,40,53,Clay,Summer,Barley,Barley,Nitrogen
78,19,57,Sandy,Kharif,Chickpea,Chickpea,Phosphorus
65,14,39,Red,Rabi,Wheat,Wheat,Phosphorus
74,19,36,Red,Rabi,Onion,Onion,Phosphorus
40,67,48,Clay,Summer,Sunflower,Sunflower,Nitrogen
54,75,13,Black,Kharif,Cotton,Cotton,Potassium
73,10,38,Black,Summer,Groundnut,Groundnut,Phosphorus
55,40,40,Sandy,Kharif,Chickpea,Chickpea,Phosphorus
41,76,40,Clay,Kharif,Pulses,Pulses,Potassium
77,35,26,Sandy,Kharif,Barley,Barley,Potassium
62,39,22,Clay,Rabi,Chickpea,Chickpea,Potassium
35,43,20,Clay,Kharif,Wheat,Wheat,Potassium
79,27,9,Black,Rabi,Pulses,Pulses,Potassium
68,75,8,Black,Kharif,Onion,Onion,Potassium
36,49,38,Clay,Summer,Maize,Maize,Nitrogen
17,16,8,Clay,Kharif,Maize,Maize,Potassium
65,58,15,Black,Summer,Sunflower,Sunflower,Potassium
20,41,30,Sandy,Rabi,Tomato,Tomato,Nitrogen
28,61,40,Black,Kharif,Wheat,Wheat,Nitrogen
69,77,12,Sandy,Kharif,Tomato,Tomato,Potassium
65,52,60,Sandy,Rabi,Barley,Barley,None
52,71,58,Sandy,Summer,Chickpea,Chickpea,None
24,61,21,Clay,Kharif,Onion,Onion,Potassium
70,14,27,Clay,Rabi,Groundnut,Groundnut,Phosphorus
71,60,12,Red,Rabi,Onion,Onion,Potassium
51,78,47,Sandy,Summer,Groundnut,Groundnut,None
75,32,50,Red,Summer,Chickpea,Chickpea,Phosphorus
26,18,11,Sandy,Kharif,Potato,Potato,Potassium
55,31,55,Black,Kharif,Pulses,Pulses,Phosphorus
30,21,39,Clay,Summer,Wheat,Wheat,Phosphorus
12,39,50,Black,Summer,Wheat,Wheat,Nitrogen
26,25,43,Clay,Rabi,Maize,Maize,Phosphorus
20,36,39,Clay,Summer,Tomato,Tomato,Nitrogen
69,69,27,Clay,Summer,Sorghum,Sorghum,Potassium
50,40,55,Red,Rabi,Potato,Potato,Phosphorus
12,15,28,Sandy,Summer,Pulses,Pulses,Nitrogen
72,52,14,Red,Summer,Rice,Rice,Potassium
64,62,42,Black,Kharif,Potato,Potato,None
70,79,44,Black,Kharif,Potato,Potato,None
25,51,27,Black,Rabi,Soybean,Soybean,Nitrogen
10,53,55,Red,Kharif,Onion,Onion,Nitrogen
57,77,56,Sandy,Kharif,Onion,Onion,None
65,74,7,Black,Summer,Potato,Potato,Potassium
13,13,15,Red,Rabi,Sorghum,Sorghum,Nitrogen
51,41,37,Clay,Kharif,Rice,Rice,Potassium
15,75,39,Clay,Rabi,Maize,Maize,Nitrogen
23,21,43,Sandy,Kharif,Groundnut,Groundnut,Phosphorus
32,76,52,Black,Summer,Groundnut,Groundnut,Nitrogen
72,16,35,Red,Kharif,Onion,Onion,Phosphorus
45,10,12,Clay,Summer,Chickpea,Chickpea,Phosphorus
30,71,58,Red,Kharif,Wheat,Wheat,Nitrogen
58,31,35,Red,Summer,Pulses,Pulses,Phosphorus
62,54,33,Sandy,Rabi,Onion,Onion,Potassium
50,23,27,Black,Summer,Pulses,Pulses,Phosphorus
69,17,26,Sandy,Rabi,Chickpea,Chickpea,Phosphorus
25,64,12,Red,Rabi,Wheat,Wheat,Potassium
33,32,44,Clay,Kharif,Sunflower,Sunflower,Phosphorus
17,54,15,Clay,Summer,Onion,Onion,Potassium
45,37,15,Clay,Summer,Sorghum,Sorghum,Potassium
20,47,17,Sandy,Rabi,Sunflower,Sunflower,Potassium
17,76,10,Black,Summer,Soybean,Soybean,Potassium
59,10,19,Black,Summer,Potato,Potato,Phosphorus
34,36,38,Red,Summer,Maize,Maize,Nitrogen
55,21,46,Black,Summer,Cotton,Cotton,Phosphorus
44,10,45,Sandy,Kharif,Rice,Rice,Phosphorus
57,53,23,Clay,Kharif,Sunflower,Sunflower,Potassium
67,21,48,Clay,Summer,Potato,Potato,Phosphorus
75,44,15,Clay,Summer,Tomato,Tomato,Potassium
54,50,48,Clay,Summer,Wheat,Wheat,Potassium
42,66,16,Red,Kharif,Potato,Potato,Potassium
30,15,48,Red,Kharif,Sugarcane,Sugarcane,Phosphorus
49,21,60,Clay,Kharif,Groundnut,Groundnut,Phosphorus
48,40,36,Black,Rabi,Sorghum,Sorghum,Potassium
27,30,26,Sandy,Summer,Rice,Rice,Potassium
63,30,33,Black,Kharif,Barley,Barley,Phosphorus
41,57,39,Clay,Kharif,Onion,Onion,Potassium
23,37,22,Black,Rabi,Barley,Barley,Potassium
18,46,53,Sandy,Kharif,Sugarcane,Sugarcane,Nitrogen
21,30,26,Sandy,Kharif,Rice,Rice,Nitrogen
61,69,11,Black,Summer,Maize,Maize,Potassium
18,26,14,Black,Summer,Maize,Maize,Potassium
12,46,58,Red,Summer,Pulses,Pulses,Nitrogen
62,28,58,Red,Summer,Onion,Onion,Phosphorus
41,16,10,Red,Summer,Sugarcane,Sugarcane,Potassium
17,25,24,Black,Kharif,Millet,Millet,Nitrogen
67,74,46,Red,Kharif,Chickpea,Chickpea,None
28,78,20,Black,Summer,Soybean,Soybean,Potassium
30,76,9,Black,Rabi,Groundnut,Groundnut,Potassium
58,42,22,Clay,Kharif,Tomato,Tomato,Potassium
43,76,52,Clay,Summer,Maize,Maize,Nitrogen
78,54,18,Red,Rabi,Tomato,Tomato,Potassium
30,60,24,Clay,Kharif,Cotton,Cotton,Potassium
53,58,37,Clay,Summer,Chickpea,Chickpea,Potassium
35,13,53,Sandy,Kharif,Barley,Barley,Phosphorus
53,21,9,Sandy,Kharif,Sugarcane,Sugarcane,Potassium
23,76,6,Black,Summer,Onion,Onion,Potassium
43,11,38,Red,Rabi,Potato,Potato,Phosphorus
80,51,41,Clay,Rabi,Sunflower,Sunflower,None
57,51,16,Sandy,Summer,Groundnut,Groundnut,Potassium
13,28,58,Black,Rabi,Pulses,Pulses,Nitrogen
48,16,9,Clay,Summer,Wheat,Wheat,Potassium
10,72,51,Red,Summer,Pulses,Pulses,Nitrogen
19,28,29,Black,Kharif,Soybean,Soybean,Nitrogen
17,44,8,Clay,Rabi,Rice,Rice,Potassium
32,10,8,Sandy,Rabi,Maize,Maize,Potassium
35,16,43,Black,Kharif,Millet,Millet,Phosphorus
48,74,28,Black,Kharif,Chickpea,Chickpea,Potassium
64,43,46,Black,Rabi,Soybean,Soybean,Phosphorus
45,65,35,Red,Rabi,Barley,Barley,Potassium
22,63,7,Sandy,Rabi,Sorghum,Sorghum,Potassium
28,19,26,Red,Rabi,Rice,Rice,Phosphorus
51,72,32,Black,Kharif,Chickpea,Chickpea,Potassium
14,16,31,Sandy,Kharif,Sunflower,Sunflower,Nitrogen
30,75,49,Red,Kharif,Millet,Millet,Nitrogen
65,35,9,Sandy,Kharif,Sugarcane,Sugarcane,Potassium
15,50,28,Clay,Summer,Groundnut,Groundnut,Nitrogen
62,34,52,Black,Rabi,Barley,Barley,Phosphorus
37,40,6,Clay,Kharif,Potato,Potato,Potassium
60,28,59,Black,Summer,Tomato,Tomato,Phosphorus
74,22,14,Black,Summer,Groundnut,Groundnut,Potassium
76,48,31,Sandy,Summer,Millet,Millet,Potassium
70,12,18,Sandy,Summer,Sunflower,Sunflower,Phosphorus
50,27,39,Clay,Summer,Cotton,Cotton,Phosphorus
57,32,29,Clay,Kharif,Potato,Potato,Potassium
56,42,59,Red,Summer,Sunflower,Sunflower,Phosphorus
69,42,55,Red,Rabi,Groundnut,Groundnut,Phosphorus
69,56,40,Sandy,Kharif,Soybean,Soybean,Potassium
39,61,33,Clay,Kharif,Rice,Rice,Potassium
77,32,22,Red,Summer,Sorghum,Sorghum,Potassium
52,23,40,Red,Rabi,Pulses,Pulses,Phosphorus
10,25,10,Sandy,Kharif,Barley,Barley,Nitrogen
71,10,7,Sandy,Summer,Onion,Onion,Potassium
53,27,28,Clay,Summer,Tomato,Tomato,Phosphorus
23,11,45,Sandy,Summer,Potato,Potato,Phosphorus
42,12,15,Red,Rabi,Sorghum,Sorghum,Phosphorus
53,32,17,Sandy,Rabi,Potato,Potato,Potassium
52,28,49,Sandy,Summer,Groundnut,Groundnut,Phosphorus
58,15,8,Black,Kharif,Groundnut,Groundnut,Potassium
51,55,60,Red,Rabi,Potato,Potato,None
39,25,37,Sandy,Rabi,Barley,Barley,Phosphorus
12,69,54,Black,Summer,Pulses,Pulses,Nitrogen
76,72,13,Black,Summer,Potato,Potato,Potassium
35,53,37,Red,Summer,Sorghum,Sorghum,Nitrogen
12,60,29,Black,Rabi,Groundnut,Groundnut,Nitrogen
29,46,38,Clay,Kharif,Chickpea,Chickpea,Nitrogen
75,26,52,Red,Rabi,Potato,Potato,Phosphorus
41,35,34,Clay,Kharif,Soybean,Soybean,Potassium
10,25,19,Red,Kharif,Groundnut,Groundnut,Nitrogen
53,67,39,Sandy,Summer,Wheat,Wheat,Potassium
45,56,8,Red,Kharif,Groundnut,Groundnut,Potassium
25,38,10,Black,Kharif,Sugarcane,Sugarcane,Potassium
30,41,13,Clay,Rabi,Wheat,Wheat,Potassium
70,77,48,Red,Summer,Sorghum,Sorghum,None
15,39,11,Clay,Rabi,Sugarcane,Sugarcane,Potassium
46,37,19,Red,Kharif,Sugarcane,Sugarcane,Potassium
14,48,6,Sandy,Rabi,Soybean,Soybean,Potassium
80,63,27,Black,Kharif,Maize,Maize,Potassium
73,42,46,Red,Kharif,Maize,Maize,Phosphorus
13,32,27,Red,Summer,Millet,Millet,Nitrogen
60,47,11,Red,Kharif,Millet,Millet,Potassium
27,57,40,Red,Summer,Sunflower,Sunflower,Nitrogen
11,23,33,Sandy,Rabi,Groundnut,Groundnut,Nitrogen
78,12,57,Sandy,Kharif,Sugarcane,Sugarcane,Phosphorus
44,71,23,Black,Kharif,Wheat,Wheat,Potassium
65,73,30,Black,Summer,Onion,Onion,Potassium
45,52,40,Black,Rabi,Sunflower,Sunflower,Potassium
53,69,21,Sandy,Kharif,Millet,Millet,Potassium
12,35,10,Clay,Rabi,Sunflower,Sunflower,Potassium
36,13,29,Black,Rabi,Chickpea,Chickpea,Phosphorus
76,60,53,Red,Rabi,Tomato,Tomato,None
25,73,57,Sandy,Rabi,Rice,Rice,Nitrogen
21,18,54,Clay,Summer,Millet,Millet,Phosphorus
20,33,18,Clay,Kharif,Sunflower,Sunflower,Potassium
44,57,14,Red,Kharif,Onion,Onion,Potassium
32,42,53,Sandy,Kharif,Maize,Maize,Nitrogen
78,34,34,Clay,Summer,Onion,Onion,Phosphorus
64,65,33,Red,Rabi,Wheat,Wheat,Potassium
60,74,14,Red,Kharif,Sunflower,Sunflower,Potassium
10,25,17,Clay,Summer,Sorghum,Sorghum,Nitrogen
41,70,52,Sandy,Summer,Sorghum,Sorghum,Nitrogen
47,69,41,Red,Rabi,Pulses,Pulses,Potassium
30,32,59,Sandy,Rabi,Barley,Barley,Nitrogen
42,60,44,Sandy,Rabi,Potato,Potato,Nitrogen
69,25,12,Clay,Summer,Onion,Onion,Potassium
77,47,19,Red,Rabi,Sunflower,Sunflower,Potassium
35,63,37,Red,Summer,Soybean,Soybean,Nitrogen
47,70,5,Black,Summer,Tomato,Tomato,Potassium
32,35,53,Clay,Rabi,Maize,Maize,Nitrogen
62,73,8,Clay,Summer,Millet,Millet,Potassium
43,74,14,Black,Rabi,Cotton,Cotton,Potassium
41,48,51,Black,Kharif,Soybean,Soybean,Nitrogen
44,19,24,Black,Kharif,Potato,Potato,Phosphorus
43,50,19,Red,Kharif,Tomato,Tomato,Potassium
60,11,50,Black,Kharif,Cotton,Cotton,Phosphorus
34,47,28,Black,Kharif,Pulses,Pulses,Potassium
60,47,18,Sandy,Kharif,Tomato,Tomato,Potassium
40,78,38,Clay,Kharif,Cotton,Cotton,Potassium
78,74,54,Clay,Summer,Wheat,Wheat,None
44,61,53,Clay,Kharif,Chickpea,Chickpea,Nitrogen
59,67,57,Clay,Rabi,Tomato,Tomato,None
34,51,38,Clay,Summer,Potato,Potato,Nitrogen
54,35,43,Clay,Summer,Tomato,Tomato,Phosphorus
21,16,41,Clay,Kharif,Cotton,Cotton,Phosphorus
80,39,18,Red,Rabi,Sorghum,Sorghum,Potassium
30,52,45,Black,Kharif,Sorghum,Sorghum,Nitrogen
31,62,6,Black,Kharif,Rice,Rice,Potassium
26,11,16,Red,Summer,Cotton,Cotton,Phosphorus
77,23,35,Clay,Summer,Cotton,Cotton,Phosphorus
56,46,23,Clay,Kharif,Chickpea,Chickpea,Potassium
64,53,53,Sandy,Summer,Soybean,Soybean,None
28,41,21,Sandy,Kharif,Wheat,Wheat,Potassium
49,61,47,Black,Summer,Rice,Rice,Potassium
23,80,14,Clay,Summer,Rice,Rice,Potassium
15,31,36,Sandy,Summer,Wheat,Wheat,Nitrogen
33,53,58,Sandy,Summer,Sorghum,Sorghum,Nitrogen
35,34,46,Red,Rabi,Sorghum,Sorghum,Phosphorus
74,44,43,Clay,Rabi,Cotton,Cotton,Potassium
16,11,21,Red,Kharif,Onion,Onion,Phosphorus
53,68,42,Black,Summer,Cotton,Cotton,None
39,78,34,Clay,Kharif,Cotton,Cotton,Potassium
67,38,50,Clay,Rabi,Groundnut,Groundnut,Phosphorus
53,39,50,Sandy,Rabi,Soybean,Soybean,Phosphorus
24,10,28,Sandy,Summer,Pulses,Pulses,Phosphorus
49,38,35,Red,Rabi,Potato,Potato,Potassium
69,69,46,Red,Kharif,Sorghum,Sorghum,None
35,17,41,Black,Summer,Cotton,Cotton,Phosphorus
32,43,24,Sandy,Summer,Tomato,Tomato,Potassium
47,29,28,Sandy,Kharif,Rice,Rice,Potassium
33,12,34,Black,Kharif,Soybean,Soybean,Phosphorus
79,36,59,Clay,Kharif,Sunflower,Sunflower,Phosphorus
62,68,47,Sandy,Rabi,Onion,Onion,None
50,39,57,Black,Kharif,Rice,Rice,Phosphorus
22,50,31,Clay,Summer,Groundnut,Groundnut,Nitrogen
63,60,17,Clay,Kharif,Soybean,Soybean,Potassium
76,80,23,Black,Summer,Soybean,Soybean,Potassium
78,60,16,Red,Rabi,Rice,Rice,Potassium
63,52,15,Red,Kharif,Pulses,Pulses,Potassium
64,20,40,Black,Summer,Millet,Millet,Phosphorus
19,22,10,Black,Kharif,Sunflower,Sunflower,Potassium
27,37,33,Black,Summer,Millet,Millet,Nitrogen
29,74,32,Black,Summer,Wheat,Wheat,Nitrogen
25,58,24,Clay,Rabi,Potato,Potato,Potassium
39,28,14,Red,Kharif,Rice,Rice,Potassium
52,79,47,Black,Rabi,Cotton,Cotton,None
53,10,18,Sandy,Rabi,Maize,Maize,Phosphorus
10,80,44,Black,Rabi,Potato,Potato,Nitrogen
18,58,24,Red,Kharif,Cotton,Cotton,Nitrogen
10,47,11,Clay,Summer,Rice,Rice,Nitrogen
44,66,18,Black,Rabi,Sorghum,Sorghum,Potassium
44,79,51,Black,Rabi,Wheat,Wheat,Nitrogen
31,11,32,Red,Rabi,Tomato,Tomato,Phosphorus
61,18,16,Clay,Rabi,Maize,Maize,Potassium
52,60,52,Sandy,Summer,Sorghum,Sorghum,None
18,34,10,Clay,Summer,Millet,Millet,Potassium
39,52,33,Red,Rabi,Rice,Rice,Potassium
28,50,20,Sandy,Rabi,Maize,Maize,Potassium
61,71,60,Black,Rabi,Maize,Maize,None
61,17,29,Black,Summer,Sunflower,Sunflower,Phosphorus
62,70,54,Sandy,Rabi,Sunflower,Sunflower,None
79,56,6,Red,Summer,Pulses,Pulses,Potassium
28,80,21,Clay,Kharif,Onion,Onion,Potassium
63,50,59,Black,Rabi,Chickpea,Chickpea,Phosphorus
19,37,5,Sandy,Kharif,Sunflower,Sunflower,Potassium
15,69,36,Sandy,Summer,Soybean,Soybean,Nitrogen
37,80,41,Clay,Rabi,Sorghum,Sorghum,Nitrogen
15,31,21,Black,Summer,Tomato,Tomato,Nitrogen
34,36,52,Red,Kharif,Rice,Rice,Nitrogen
17,80,11,Black,Rabi,Potato,Potato,Potassium
43,24,13,Red,Rabi,Sunflower,Sunflower,Potassium
37,39,47,Sandy,Kharif,Pulses,Pulses,Nitrogen
55,28,26,Black,Rabi,Millet,Millet,Potassium
57,45,39,Black,Kharif,Rice,Rice,Potassium
30,44,32,Red,Summer,Rice,Rice,Nitrogen
34,79,41,Black,Rabi,Millet,Millet,Nitrogen
69,78,18,Red,Kharif,Maize,Maize,Potassium
18,68,19,Red,Summer,Pulses,Pulses,Nitrogen
74,61,58,Sandy,Summer,Millet,Millet,None
51,39,31,Sandy,Rabi,Barley,Barley,Potassium
72,31,9,Red,Kharif,Sugarcane,Sugarcane,Potassium
71,31,56,Black,Rabi,Maize,Maize,Phosphorus
13,80,48,Sandy,Rabi,Barley,Barley,Nitrogen
53,42,8,Red,Rabi,Sugarcane,Sugarcane,Potassium
68,22,7,Clay,Summer,Sunflower,Sunflower,Potassium
43,41,49,Clay,Kharif,Sugarcane,Sugarcane,Phosphorus
73,14,56,Red,Kharif,Rice,Rice,Phosphorus
